Instance Name,Repetitions,Iterations,Optimal Cost,Optimal Path
tsp_6_1.txt,10,100000000,132,0-1-2-3-4-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,1613558,0,0,0%
2.,1609790,0,0,0%
3.,1614609,0,0,0%
4.,1589198,0,0,0%
5.,1588452,0,0,0%
6.,1604485,0,0,0%
7.,1642090,0,0,0%
8.,1613612,0,0,0%
9.,1599017,0,0,0%
10.,1605658,0,0,0%
Instance Name,Repetitions,Iterations,Optimal Cost,Optimal Path
tsp_6_2.txt,10,100000000,80,0-5-1-2-3-4-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,1594662,0,0,0%
2.,1597071,0,0,0%
3.,1590693,0,0,0%
4.,1600425,0,0,0%
5.,1602832,0,0,0%
6.,1610061,0,0,0%
7.,1611312,0,0,0%
8.,1622191,0,0,0%
9.,1595207,0,0,0%
10.,1599707,0,0,0%
Instance Name,Repetitions,Iterations,Optimal Cost,Optimal Path
tsp_10.txt,10,100000000,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,2657319,0,0,0%
2.,2642230,0,0,0%
3.,2630888,0,0,0%
4.,2648866,0,0,0%
5.,2667345,0,0,0%
6.,2717059,0,0,0%
7.,2650925,0,0,0%
8.,2653652,0,0,0%
9.,2663101,0,0,0%
10.,2642632,0,0,0%
Instance Name,Repetitions,Iterations,Optimal Cost,Optimal Path
tsp_12.txt,10,100000000,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,3142290,0,0,0%
2.,3156364,0,0,0%
3.,3162087,0,0,0%
4.,3186470,0,0,0%
5.,3161610,0,0,0%
6.,3227256,0,0,0%
7.,3167984,0,0,0%
8.,3157356,0,0,0%
9.,3170597,0,0,0%
10.,3287531,0,0,0%
Instance Name,Repetitions,Iterations,Optimal Cost,Optimal Path
tsp_13.txt,10,100000000,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,3567580,0,0,0%
2.,3535953,22,0.0817844,8.17844%
3.,3528511,0,0,0%
4.,3526342,22,0.0817844,8.17844%
5.,3577945,12,0.0446097,4.46097%
6.,3593468,0,0,0%
7.,3558444,0,0,0%
8.,3619490,19,0.070632,7.0632%
9.,3581298,20,0.0743494,7.43494%
10.,3571090,0,0,0%
Instance Name,Repetitions,Iterations,Optimal Cost,Optimal Path
tsp_14.txt,10,100000000,282,0-10-3-5-7-9-13-11-2-6-4-8-1-12-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,3723132,27,0.0957447,9.57447%
2.,3711316,38,0.134752,13.4752%
3.,3697721,8,0.0283688,2.83688%
4.,3700601,29,0.102837,10.2837%
5.,3714344,26,0.0921986,9.21986%
6.,3705739,38,0.134752,13.4752%
7.,3732281,43,0.152482,15.2482%
8.,3723758,34,0.120567,12.0567%
9.,3689583,24,0.0851064,8.51064%
10.,3723480,33,0.117021,11.7021%
Instance Name,Repetitions,Iterations,Optimal Cost,Optimal Path
tsp_15.txt,10,100000000,291,0-12-1-14-8-4-6-2-11-13-9-7-5-3-10-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,4080015,49,0.168385,16.8385%
2.,4068306,59,0.202749,20.2749%
3.,4160924,41,0.140893,14.0893%
4.,4160461,57,0.195876,19.5876%
5.,4077349,59,0.202749,20.2749%
6.,4060751,42,0.14433,14.433%
7.,4074169,32,0.109966,10.9966%
8.,4091296,40,0.137457,13.7457%
9.,4088824,46,0.158076,15.8076%
10.,4110681,53,0.182131,18.2131%
Instance Name,Repetitions,Iterations,Optimal Cost,Optimal Path
tsp_17.txt,10,100000000,39,0-11-13-2-9-10-1-12-15-14-5-6-3-4-7-8-16-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,4604065,1,0.025641,2.5641%
2.,4626614,1,0.025641,2.5641%
3.,4613513,0,0,0%
4.,4673384,0,0,0%
5.,4675739,3,0.0769231,7.69231%
6.,4616910,2,0.0512821,5.12821%
7.,4647397,0,0,0%
8.,4585613,3,0.0769231,7.69231%
9.,4654017,1,0.025641,2.5641%
10.,4582399,1,0.025641,2.5641%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_6_1.txt,10,60,132,0-1-2-3-4-5-0
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_6_1.txt,10,5,132,0-1-2-3-4-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,5000676,0,0,0%
2.,5000016,0,0,0%
3.,5000023,0,0,0%
4.,5000010,0,0,0%
5.,5000010,0,0,0%
6.,5000007,0,0,0%
7.,5000006,0,0,0%
8.,5000006,0,0,0%
9.,5000008,0,0,0%
10.,5000011,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_6_2.txt,10,5,80,0-5-1-2-3-4-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,5000007,0,0,0%
2.,5000010,0,0,0%
3.,5000007,0,0,0%
4.,5000011,0,0,0%
5.,5000006,0,0,0%
6.,5000012,0,0,0%
7.,5000007,0,0,0%
8.,5000007,0,0,0%
9.,5000007,0,0,0%
10.,5000008,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_10.txt,10,5,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,5000008,0,0,0%
2.,5000013,0,0,0%
3.,5000010,0,0,0%
4.,5000006,0,0,0%
5.,5000007,0,0,0%
6.,5000006,0,0,0%
7.,5000020,0,0,0%
8.,5000007,0,0,0%
9.,5000007,0,0,0%
10.,5000006,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_12.txt,10,5,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,5000007,0,0,0%
2.,5000011,0,0,0%
3.,5000007,0,0,0%
4.,5000012,0,0,0%
5.,5000035,0,0,0%
6.,5000007,0,0,0%
7.,5000007,0,0,0%
8.,5000013,0,0,0%
9.,5000007,0,0,0%
10.,5000007,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_13.txt,10,5,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,5000007,20,0.0743494,7.43494%
2.,5000007,20,0.0743494,7.43494%
3.,5000037,19,0.070632,7.0632%
4.,5000007,20,0.0743494,7.43494%
5.,5000011,12,0.0446097,4.46097%
6.,5000007,26,0.0966543,9.66543%
7.,5000008,0,0,0%
8.,5000007,19,0.070632,7.0632%
9.,5000007,12,0.0446097,4.46097%
10.,5000011,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_14.txt,10,5,282,0-10-3-5-7-9-13-11-2-6-4-8-1-12-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,5000006,20,0.070922,7.0922%
2.,5000018,37,0.131206,13.1206%
3.,5000007,34,0.120567,12.0567%
4.,5000006,30,0.106383,10.6383%
5.,5000006,26,0.0921986,9.21986%
6.,5000011,26,0.0921986,9.21986%
7.,5000008,29,0.102837,10.2837%
8.,5000009,24,0.0851064,8.51064%
9.,5000006,26,0.0921986,9.21986%
10.,5000011,30,0.106383,10.6383%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_15.txt,10,5,291,0-12-1-14-8-4-6-2-11-13-9-7-5-3-10-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,5000013,53,0.182131,18.2131%
2.,5000017,46,0.158076,15.8076%
3.,5000008,56,0.19244,19.244%
4.,5000008,36,0.123711,12.3711%
5.,5000011,55,0.189003,18.9003%
6.,5000008,64,0.219931,21.9931%
7.,5000021,30,0.103093,10.3093%
8.,5000011,49,0.168385,16.8385%
9.,5000007,42,0.14433,14.433%
10.,5000066,58,0.199313,19.9313%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_17.txt,10,5,39,0-11-13-2-9-10-1-12-15-14-5-6-3-4-7-8-16-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,5000008,1,0.025641,2.5641%
2.,5000007,0,0,0%
3.,5000417,2,0.0512821,5.12821%
4.,5000038,1,0.025641,2.5641%
5.,5000007,1,0.025641,2.5641%
6.,5000011,0,0,0%
7.,5000007,1,0.025641,2.5641%
8.,5000007,0,0,0%
9.,5000007,0,0,0%
10.,5000006,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_6_1.txt,10,5,132,0-1-2-3-4-5-0
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_6_1.txt,10,5,132,0-1-2-3-4-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,475,0,0,0%
2.,23,0,0,0%
3.,8,0,0,0%
4.,2,0,0,0%
5.,8,0,0,0%
6.,11,0,0,0%
7.,5,0,0,0%
8.,22,0,0,0%
9.,20,0,0,0%
10.,9,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_6_2.txt,10,5,80,0-5-1-2-3-4-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,6,0,0,0%
2.,11,0,0,0%
3.,5,0,0,0%
4.,15,0,0,0%
5.,5,0,0,0%
6.,5,0,0,0%
7.,4,0,0,0%
8.,8,0,0,0%
9.,6,0,0,0%
10.,4,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_10.txt,10,5,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,8711,0,0,0%
2.,3631,0,0,0%
3.,6604,0,0,0%
4.,11445,0,0,0%
5.,16494,0,0,0%
6.,5271,0,0,0%
7.,9215,0,0,0%
8.,1979,0,0,0%
9.,12752,0,0,0%
10.,6618,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_12.txt,10,5,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,1585828,0,0,0%
2.,473727,0,0,0%
3.,569718,0,0,0%
4.,1086199,0,0,0%
5.,1971390,0,0,0%
6.,635103,0,0,0%
7.,1510908,0,0,0%
8.,1256911,0,0,0%
9.,1140060,0,0,0%
10.,515477,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_13.txt,10,5,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,3087233,0,0,0%
2.,5000007,22,0.0817844,8.17844%
3.,5000007,19,0.070632,7.0632%
4.,5000006,20,0.0743494,7.43494%
5.,4661461,0,0,0%
6.,5000010,25,0.0929368,9.29368%
7.,5000006,20,0.0743494,7.43494%
8.,5000011,12,0.0446097,4.46097%
9.,3978642,0,0,0%
10.,2789086,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_6_1.txt,10,5,360,0-1-2-3-4-5-0
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_6_1.txt,10,360,132,0-1-2-3-4-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,1554,0,0,0%
2.,166,0,0,0%
3.,241,0,0,0%
4.,146,0,0,0%
5.,254,0,0,0%
6.,155,0,0,0%
7.,116,0,0,0%
8.,134,0,0,0%
9.,130,0,0,0%
10.,162,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_6_2.txt,10,360,80,0-5-1-2-3-4-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,123,0,0,0%
2.,154,0,0,0%
3.,110,0,0,0%
4.,291,0,0,0%
5.,140,0,0,0%
6.,207,0,0,0%
7.,142,0,0,0%
8.,124,0,0,0%
9.,381,0,0,0%
10.,307,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_10.txt,10,360,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,41946,0,0,0%
2.,16196,0,0,0%
3.,3958,0,0,0%
4.,1289,0,0,0%
5.,12188,0,0,0%
6.,3122,0,0,0%
7.,8848,0,0,0%
8.,17906,0,0,0%
9.,1634,0,0,0%
10.,14423,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_12.txt,10,360,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,339250,0,0,0%
2.,333087,0,0,0%
3.,3153738,0,0,0%
4.,1567827,0,0,0%
5.,269161,0,0,0%
6.,142610,0,0,0%
7.,1437720,0,0,0%
8.,1214382,0,0,0%
9.,1137845,0,0,0%
10.,1197891,0,0,0%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
tsp_13.txt,10,360,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Time (us),Absolute error,Relative error,Relative error %
1.,8221041,0,0,0%
2.,3163387,0,0,0%
3.,4792928,0,0,0%
4.,81893,0,0,0%
5.,5311462,0,0,0%
6.,5012469,0,0,0%
7.,27273907,0,0,0%
8.,21192849,0,0,0%
9.,19274918,0,0,0%
10.,17077816,0,0,0%
