Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
gr17.tsp,2,300,2085,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300002941,2129,44,0.0211031,2.11031%
2.,300403658,2194,109,0.0522782,5.22782%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
bays29.tsp,2,300,2020,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300545568,3095,1075,0.532178,53.2178%
2.,300490162,3115,1095,0.542079,54.2079%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
swiss42.tsp,2,300,1273,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300901777,3002,1729,1.35821,135.821%
2.,300021676,2983,1710,1.34328,134.328%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
berlin52.tsp,2,300,7542,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,301159902,19621,12079,1.60156,160.156%
2.,300099132,19376,11834,1.56908,156.908%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
st70.tsp,2,300,675,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300482819,2553,1878,2.78222,278.222%
2.,301888062,2538,1863,2.76,276%
Instance Name,Repetitions,Execution_time_limit [s],Optimal Cost,Optimal Path
pr124.tsp,2,300,59030,None
No.,Execution Time (us),Result,Absolute error,Relative error,Relative error %
1.,300752095,514075,455045,7.70871,770.871%
2.,300355746,515186,456156,7.72753,772.753%
