Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,10,132,0-1-2-3-4-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,70,0,0,0%
2.,132,0,0,0%
3.,116,0,0,0%
4.,61,0,0,0%
5.,113,0,0,0%
6.,112,0,0,0%
7.,108,0,0,0%
8.,111,0,0,0%
9.,59,0,0,0%
10.,111,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt,10,80,0-5-1-2-3-4-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,40,0,0,0%
2.,35,0,0,0%
3.,74,0,0,0%
4.,40,0,0,0%
5.,34,0,0,0%
6.,29,0,0,0%
7.,30,0,0,0%
8.,36,0,0,0%
9.,40,0,0,0%
10.,32,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt,10,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,6654,0,0,0%
2.,7025,0,0,0%
3.,8299,0,0,0%
4.,6887,0,0,0%
5.,7098,0,0,0%
6.,7057,0,0,0%
7.,6664,0,0,0%
8.,6590,0,0,0%
9.,6728,0,0,0%
10.,6715,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt,10,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,601651,0,0,0%
2.,592009,0,0,0%
3.,570642,0,0,0%
4.,570478,0,0,0%
5.,589911,0,0,0%
6.,578668,0,0,0%
7.,585046,0,0,0%
8.,574880,0,0,0%
9.,568321,0,0,0%
10.,572925,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt,10,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,2189781,0,0,0%
2.,2212591,0,0,0%
3.,2191171,0,0,0%
4.,2213739,0,0,0%
5.,2197226,0,0,0%
6.,2207555,0,0,0%
7.,2199832,0,0,0%
8.,2198940,0,0,0%
9.,2215911,0,0,0%
10.,2204676,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_14.txt,10,282,0-10-3-5-7-9-13-11-2-6-4-8-1-12-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,10424137,0,0,0%
2.,10580624,0,0,0%
3.,10672100,0,0,0%
4.,10926849,0,0,0%
5.,10701788,0,0,0%
6.,10556969,0,0,0%
7.,10573715,0,0,0%
8.,10660855,0,0,0%
9.,10548806,0,0,0%
10.,10542017,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_15.txt,10,291,0-12-1-14-8-4-6-2-11-13-9-7-5-3-10-0
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,10,132,0-1-2-3-4-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,68,0,0,0%
2.,54,0,0,0%
3.,54,0,0,0%
4.,56,0,0,0%
5.,52,0,0,0%
6.,58,0,0,0%
7.,58,0,0,0%
8.,54,0,0,0%
9.,58,0,0,0%
10.,51,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt,10,80,0-5-1-2-3-4-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,34,0,0,0%
2.,54,0,0,0%
3.,42,0,0,0%
4.,33,0,0,0%
5.,33,0,0,0%
6.,32,0,0,0%
7.,34,0,0,0%
8.,34,0,0,0%
9.,64,0,0,0%
10.,36,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt,10,212,0-3-4-2-8-7-6-9-1-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,6454,0,0,0%
2.,6686,0,0,0%
3.,6507,0,0,0%
4.,6792,0,0,0%
5.,6890,0,0,0%
6.,7542,0,0,0%
7.,7556,0,0,0%
8.,8123,0,0,0%
9.,6861,0,0,0%
10.,7596,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt,10,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,600603,0,0,0%
2.,606333,0,0,0%
3.,571425,0,0,0%
4.,572022,0,0,0%
5.,569212,0,0,0%
6.,577768,0,0,0%
7.,572596,0,0,0%
8.,576461,0,0,0%
9.,578506,0,0,0%
10.,572447,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt,10,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,2242810,0,0,0%
2.,2216453,0,0,0%
3.,2201475,0,0,0%
4.,2229267,0,0,0%
5.,2205699,0,0,0%
6.,2212703,0,0,0%
7.,2194043,0,0,0%
8.,2202309,0,0,0%
9.,2199649,0,0,0%
10.,2200221,0,0,0%
